#type: 		writing
#specification:	Blazon (bla) - Heraldic language
#scriptcode:	Latn
#source:	http://www.heraldry-scotland.co.uk/lindsay.html (last access: 24.03.2019); Short overview on the use of blazon in scottish heraldry: http://heraldry.sca.org/armory/bruce.html (last access: 24.03.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Blazon, a formal description of heraldic arms, uses an own syntactic system and specific vocabulary. Here: a collection of Queen Mary's Roll. 

<line_155>	Argent, a chevron between three boars' heads couped all Azure
<line_156>	Ermine, a saltire Sable
<line_157>	Argent, a chief Gules
<line_158>	Gules, a chevron Argent between three wings conjoined in lure Or
<line_159>	Argent, a lion rampant Gules crowned Or
<line_160>	Argent, a lion rampant Gules surmounted by a bend Sable charged with a buckle between two mascles all Argent
<line_161>	Quarterly: 1st and 4th Argent, a cross Sable (Guthrie) 2nd and 3rd Azure, three garbs Or (Comyn)
<line_162>	Vert, a fess chequy Argent and Azure between three mascles Or
<line_163>	Argent, on a bend Azure three martlets, that in chief Argent the other two Or
<line_164>	Argent, on a bend engrailed Vert three buckles Argent
<line_165>	Per chevron Argent and Argent goutty Sable, a chevron between three otters' heads couped all Sable and on a chief Vert a crescent Argent in dexter
<line_166>	Sable, a fess between three roundels all Argent
<line_167>	Gules, a saltire Argent and on a chief Argent three lozenges Gules
<line_168>	Or, a chevron between three water-bougets all Sable
<line_169>	Argent, a chevron between three cinquefoils all Gules
<line_170>	Argent, a saltire and chief Gules
<line_171>	Quarterly: 1st and 4th Azure, a bend chequy Argent and Sable 2nd and 3rd Or, a lymphad and in chief three buckles all Sable
<line_172>	Argent, a saltire Gules and on a chief Gules a mullet Argent in dexter
<line_173>	Argent, two crescents in fess and a boar's head couped in chief all Sable
<line_174>	Argent, a bull's head erased Sable
<line_175>	Quarterly: 1st and 4th Argent, a chevron Gules between three crosses crosslet fitchy Sable (Kennedy) 2nd and 3rd Azure, three fleurs-de-lis Or
<line_176>	Argent, three leaves slipped Vert
<line_177>	Gules, three cinquefoils Argent within a bordure compony Ermine and Gules
<line_178>	Gules, three cinquefoils within a double tressure flory counter-flory all Argent
<line_179>	Azure, a bend between three (2,1) boars' heads couped all Argent
<line_180>	Argent, a saltire engrailed Azure and on a chief Azure three mullets Argent
<line_181>	Argent, three stags' heads couped Sable
<line_182>	Gules, a crescent between three mullets all Argent
<line_183>	Argent, on a cross between four mullets all Azure a crescent Argent
<line_184>	Gules, a boar's head couped Argent between three (2,1) mullets and three (1,2) crosses crosslet fitchy all Or
<line_185>	Azure, on a fess Argent between three mascles Or a cinquefoil Gules
<line_186>	Argent, two chevrons engrailed Gules
<line_187>	Or, a fess chequy Argent and Azure
<line_188>	Or, a fess chequy Argent and Azure and in chief a lion passant guardant Gules
<line_189>	Quarterly: 1st and 4th Azure, a fess between three mascles all Or (Beaton) 2nd and 3rd Argent, on a chevron Sable an otter's head erased Argent (Balfour)
<line_190>	Ermine, a chevron Gules
<line_191>	Gules, a fess Ermine between three mullets in chief and a castle triple-towered in base all Argent
<line_192>	Sable, three mullets Argent
<line_193>	Sable, three boars' heads couped Argent
<line_194>	Argent, on a bend Azure three buckles Argent
<line_195>	Argent, on a bend Azure three crescents Or
<line_196>	Argent, a saltire Gules and a chief per fess Or and Gules with a demi-fleur-de-lis issuant Azure in centre chief
<line_197>	Or, a lion rampant dismembered Gules
<line_198>	Or, three crescents Gules
<line_199>	Argent, three escutcheons Gules within a bordure engrailed ....
<line_200>	Gules, a bend invected Or and in sinister chief a mullet Argent
<line_201>	Argent, on a chevron Sable between three trefoils slipped Vert an otter's head erased Or
<line_202>	Argent, on a fess Azure three mullets Or
<line_203>	Sable, on a fess Azure between three crescents Or as many mullets also Or)
<line_204>	Argent, a chevron Gules between three mascles Vert
<line_205>	Argent, six (3,2,1) fraises Sable
<line_206>	Vert, on a chevron Argent between three crescents Or an otter's head erased Purpure
<line_207>	Sable, on a chevron Or an otter's head erased Purpure, debruised by a label of three points Gules
